,sig_eff,bkg_eff
0,1.0003472222222223,0.9946980854197349
1,0.9989583333333333,0.9777123220422189
2,0.996875,0.955424644084438
3,0.9954861111111111,0.9301914580265096
4,0.9944444444444445,0.9018163966617575
5,0.9920138888888889,0.8732449680903289
6,0.9888888888888889,0.8434953362788414
7,0.9861111111111112,0.8124693176239568
8,0.98125,0.7804614629356897
9,0.9774305555555556,0.7474717722140403
10,0.971875,0.7150711831124202
11,0.9670138888888888,0.6828669612174767
12,0.9621527777777777,0.6511536573392244
13,0.95625,0.6197349042709868
14,0.9506944444444444,0.5875306823760431
15,0.9434027777777778,0.5567992145311733
16,0.9361111111111111,0.5269513991163475
17,0.9295138888888889,0.49798723613156604
18,0.9222222222222223,0.4704958271968581
19,0.9138888888888889,0.44447717231222383
20,0.90625,0.4192439862542955
21,0.8989583333333333,0.39548355424644077
22,0.8916666666666667,0.37358861070201277
23,0.884375,0.35326460481099653
24,0.8774305555555556,0.33372606774668634
25,0.8711805555555556,0.31585665193912627
26,0.8638888888888889,0.2994599901816397
27,0.8565972222222222,0.28424153166421207
28,0.8496527777777778,0.27000490918016684
29,0.8423611111111111,0.25675012272950415
30,0.8354166666666667,0.24447717231222377
31,0.8288194444444444,0.23298969072164943
32,0.8222222222222222,0.2221894943544428
33,0.8166666666666667,0.21188021600392737
34,0.8111111111111111,0.2019636720667649
35,0.8048611111111111,0.19302896416298476
36,0.7993055555555555,0.1842906234658812
37,0.7934027777777778,0.17633775159548348
38,0.7875,0.1686794305351006
39,0.7815972222222223,0.16141384388807056
40,0.7763888888888889,0.15444280805105537
41,0.7704861111111111,0.1479626902307314
42,0.7645833333333334,0.14177712322042224
43,0.759375,0.13549337260677463
44,0.7538194444444444,0.12989690721649483
45,0.7475694444444445,0.12479135984290612
46,0.742361111111111,0.11958762886597918
47,0.7378472222222222,0.11458026509572883
48,0.7319444444444444,0.11006381934216969
49,0.7256944444444444,0.10603829160530176
50,0.7201388888888889,0.10181639666175735
51,0.7145833333333333,0.09769268532155118
52,0.7079861111111111,0.09366715758468325
53,0.703125,0.08954344624447719
54,0.6975694444444445,0.08591065292096223
55,0.6913194444444444,0.0823760432007854
56,0.6857638888888888,0.0791359842906234
57,0.6802083333333333,0.07599410898379977
58,0.6739583333333333,0.07334315169366712
59,0.6673611111111111,0.07039764359351985
60,0.6607638888888889,0.06755031909671083
61,0.6552083333333334,0.06470299459990181
62,0.6503472222222222,0.0616593028964163
63,0.6440972222222222,0.05930289641629849
64,0.6378472222222222,0.05714285714285716
65,0.6315972222222221,0.054590083456062866
66,0.6246527777777777,0.05243004418262143
67,0.61875,0.05017182130584186
68,0.6111111111111112,0.04840451644575339
69,0.6059027777777777,0.04585174275895909
70,0.5996527777777778,0.04388807069219425
71,0.5927083333333334,0.04182621502209116
72,0.5854166666666667,0.03976435935198808
73,0.5784722222222223,0.03819342169857631
74,0.5715277777777779,0.03622974963181147
75,0.5638888888888889,0.034266077565046626
76,0.5565972222222223,0.032302405498281894
77,0.5493055555555557,0.030535100638193424
78,0.5402777777777779,0.029160530191458034
79,0.5322916666666667,0.02709867452135495
80,0.523263888888889,0.025724104074619447
81,0.5149305555555557,0.02405498281786933
82,0.5065972222222223,0.02228767795778097
83,0.49722222222222223,0.02081492390770745
84,0.4864583333333333,0.01944035346097195
85,0.4760416666666667,0.017574864997545236
86,0.46423611111111107,0.016003927344133473
87,0.4520833333333334,0.01453117329405984
88,0.4388888888888889,0.01315660284732445
89,0.4239583333333333,0.011487481590574333
90,0.40625,0.010211094747177185
91,0.38784722222222223,0.008836524300441684
92,0.3663194444444444,0.007265586647029809
93,0.34062499999999996,0.005400098183603208
94,0.3041666666666667,0.00412371134020606
95,0.24305555555555558,0.0020618556701029744
96,0.0,-2.220446049250313e-16
